               time,               Date,           Rainfall,      Inifiltration,         Runoff@end,       WaterStorage,      LeftDischarge,      RightDischarge
  42162.0000  06/07/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42163.0000  06/08/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42164.0000  06/09/2015        2.8000        2.1069        0.0000        0.0000        0.0000        0.0000
  42165.0000  06/10/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42166.0000  06/11/2015       49.9276       49.1036        0.0000        0.0000        0.0000        0.0000
  42167.0000  06/12/2015        1.2000        0.1298        0.0000        0.0000        0.0000        0.0000
  42168.0000  06/13/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42169.0000  06/14/2015       47.2599       46.0464        0.0000        0.0000        0.0000        0.0000
  42170.0000  06/15/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42171.0000  06/16/2015        1.6000        0.6158        0.0000        0.0000        0.0000        0.0000
  42172.0000  06/17/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42173.0000  06/18/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42174.0000  06/19/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42175.0000  06/20/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42176.0000  06/21/2015       21.5595       20.8639        0.0000        0.0000        0.0000        0.0000
  42177.0000  06/22/2015      131.6308      130.5337        0.0000        0.0000        0.0000        0.0000
  42178.0000  06/23/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42179.0000  06/24/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42180.0000  06/25/2015      106.1107      104.9098        0.0000        0.0000        0.0000        0.0000
  42181.0000  06/26/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42182.0000  06/27/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42183.0000  06/28/2015       34.6255       33.7580        0.0000        0.0000        0.0000        0.0000
  42184.0000  06/29/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42185.0000  06/30/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42186.0000  07/01/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42187.0000  07/02/2015        8.6525        8.1611        0.0000        0.0000        0.0000        0.0000
  42188.0000  07/03/2015      118.5608      118.0084        0.0000        0.0000        0.0000        0.0000
  42189.0000  07/04/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42190.0000  07/05/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42191.0000  07/06/2015       97.8127       97.0479        0.0000        0.0000        0.0000        0.0000
  42192.0000  07/07/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42193.0000  07/08/2015       56.9865       56.2071        0.0000        0.0000        0.0000        0.0000
  42194.0000  07/09/2015       18.3211       17.6567        0.0000        0.0000        0.0000        0.0000
  42195.0000  07/10/2015       75.3430       74.6037        0.0000        0.0000        0.0000        0.0000
  42196.0000  07/11/2015        6.4000        5.7022        0.0000        0.0000        0.0000        0.0000
  42197.0000  07/12/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42198.0000  07/13/2015      144.2369      143.3253        0.0000        0.0000        0.0000        0.0000
  42199.0000  07/14/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42200.0000  07/15/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  42201.0000  07/16/2015        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
