Experiment.name	Date	Day.of.Year	Soil.layer.base.depth	Soil.layer.thikness	SoilW.layer.cm3.cm3	SoilW.layer.mm	SoilN.layer.ppm	SoilN.layer.kg.ha
BEOU1501	2015-07-16	197	20	20	0.012	2.37	.	.
BEOU1501	2015-07-22	203	20	20	0.014	2.84	0.54	1.52
BEOU1501	2015-07-29	210	20	20	0.005	0.95	1.62	4.53
BEOU1501	2015-08-12	224	20	20	0.008	1.51	1.46	4.08
BEOU1501	2015-08-26	238	20	20	0.002	0.42	0.81	2.26
BEOU1501	2015-09-09	252	20	20	0.002	0.42	1.49	4.17
BEOU1501	2015-09-23	266	20	20	0.003	0.6	2.05	5.74
BEOU1501	2015-10-06	279	20	20	0.005	0.9	0.72	2.02
BEOU1501	2015-07-16	197	40	20	0.01	1.96	0.54	1.52
BEOU1501	2015-07-22	203	40	20	0.015	2.91	0.81	2.26
BEOU1501	2015-07-29	210	40	20	0.007	1.47	3.59	10.06
BEOU1501	2015-08-12	224	40	20	0.01	2	0.7	1.96
BEOU1501	2015-08-26	238	40	20	0.012	2.34	1.09	3.06
BEOU1501	2015-09-09	252	40	20	0.011	2.14	1.24	3.48
BEOU1501	2015-09-23	266	40	20	0.009	1.81	1.09	3.06
BEOU1501	2015-10-06	279	40	20	0.007	1.33	1.1	3.08
BEOU1501	2015-07-16	197	60	20	0.012	2.47	0.47	1.3
BEOU1501	2015-07-22	203	60	20	0.013	2.55	2.8	7.84
BEOU1501	2015-07-29	210	60	20	0.007	1.31	2.65	7.42
BEOU1501	2015-08-12	224	60	20	0.006	1.27	0.35	0.98
BEOU1501	2015-08-26	238	60	20	0.006	1.21	0.01	0.02
BEOU1501	2015-09-09	252	60	20	0.008	1.64	0.42	1.16
BEOU1501	2015-09-23	266	60	20	0.008	1.63	0.36	1.01
BEOU1501	2015-10-06	279	60	20	0.003	0.69	0.4	1.12
