Site.Name	Experiment.Name	Year	Day.of.year	Date	Yield	Biom	LAI	CroN	CroP	SoilWTot.MaxMeasDepth	SoilNTot.MaxMeasDepth
MANT	MANT1001	2010	151	2010-05-31	.	.	0.03	.	.	.	.
MANT	MANT1001	2010	166	2010-06-15	.	.	0.29	.	.	.	.
MANT	MANT1001	2010	181	2010-06-30	.	.	0.82	.	.	.	.
MANT	MANT1001	2010	196	2010-07-15	.	.	1.32	.	.	.	.
MANT	MANT1001	2010	211	2010-07-30	.	.	0.93	.	.	.	.
MANT	MANT1001	2010	226	2010-08-14	.	.	0.73	.	.	.	.
MANT	MANT1001	2010	246	2010-09-03	2.13	8.81	0	.	.	.	.
MANT	MANT1001	2010	152	2010-06-01	.	.	.	.	.	163	.
MANT	MANT1001	2010	162	2010-06-11	.	.	.	.	.	157	.
MANT	MANT1001	2010	171	2010-06-20	.	.	.	.	.	147	.
MANT	MANT1001	2010	181	2010-06-30	.	.	.	.	.	157	.
MANT	MANT1001	2010	191	2010-07-10	.	.	.	.	.	142	.
MANT	MANT1001	2010	201	2010-07-20	.	.	.	.	.	149	.
MANT	MANT1001	2010	211	2010-07-30	.	.	.	.	.	190	.
MANT	MANT1001	2010	221	2010-08-09	.	.	.	.	.	198	.
MANT	MANT1001	2010	231	2010-08-19	.	.	.	.	.	191	.
MANT	MANT1001	2010	242	2010-08-30	.	.	.	.	.	181	.
MANT	MANT1001	2010	251	2010-09-08	.	.	.	.	.	185	.
MANT	MANT0901	2009	163	2009-06-12	.	.	0.04	.	.	.	.
MANT	MANT0901	2009	178	2009-06-27	.	.	0.2	.	.	.	.
MANT	MANT0901	2009	193	2009-07-12	.	.	0.84	.	.	.	.
MANT	MANT0901	2009	208	2009-07-27	.	.	1.5	.	.	.	.
MANT	MANT0901	2009	223	2009-08-11	.	.	1.5	.	.	.	.
MANT	MANT0901	2009	238	2009-08-26	.	.	1.13	.	.	.	.
MANT	MANT0901	2009	260	2009-09-17	2.21	4.85	0	.	.	.	.
GHKP	GHKP0801	2008	144	2008-05-23	.	0.2	.	.	.	.	.
GHKP	GHKP0801	2008	171	2008-06-19	.	.	2.73	.	.	.	.
GHKP	GHKP0801	2008	172	2008-06-20	.	3.95	.	.	.	.	.
GHKP	GHKP0801	2008	186	2008-07-04	.	6.6	.	.	.	.	.
GHKP	GHKP0801	2008	217	2008-08-04	4.42	9.18	.	86	17	.	.
GHKP	GHKP0801	2008	125	2008-05-04	.	.	.	.	.	96	.
GHKP	GHKP0801	2008	139	2008-05-18	.	.	.	.	.	88	.
GHKP	GHKP0801	2008	153	2008-06-01	.	.	.	.	.	84	.
GHKP	GHKP0801	2008	167	2008-06-15	.	.	.	.	.	92	.
GHKP	GHKP0801	2008	181	2008-06-29	.	.	.	.	.	78	.
GHKP	GHKP0901	2009	165	2009-06-14		.	2.37	.	.	.	.
GHKP	GHKP0901	2009	210	2009-07-29	3.48	8.06	.	76	12.4	.	.
ETBA	ETBA1401	2014	203	2014-07-22	.	.	0.87	.	.	.	.
ETBA	ETBA1401	2014	217	2014-08-05	.	.	1.44	.	.	.	.
ETBA	ETBA1401	2014	224	2014-08-12	.	.	2.02	.	.	.	.
ETBA	ETBA1401	2014	230	2014-08-18	.	.	3.03	.	.	.	.
ETBA	ETBA1401	2014	237	2014-08-25	.	.	4.43	.	.	.	.
ETBA	ETBA1401	2014	244	2014-09-01	.	.	3.81	.	.	.	.
ETBA	ETBA1401	2014	128	2014-05-08	.	.	.	.	.	195	.
ETBA	ETBA1401	2014	151	2014-05-31	.	.	.	.	.	272	.
ETBA	ETBA1401	2014	166	2014-06-15	.	.	.	.	.	324	.
ETBA	ETBA1401	2014	180	2014-06-29	.	.	.	.	.	349	.
ETBA	ETBA1401	2014	243	2014-08-31	.	.	.	.	.	370	.
ETBA	ETBA1401	2014	300	2014-10-27	7.29	11.56	.	.	.	.	.
ETBA	ETBA1301	2013	156	2013-06-05	.	.	.	.	.	195	.
ETBA	ETBA1301	2013	195	2013-07-14	.	.	.	.	.	397	.
ETBA	ETBA1301	2013	181	2013-06-30	.	.	.	.	.	334	.
ETBA	ETBA1301	2013	208	2013-07-27	.	.	.	.	.	373	.
ETBA	ETBA1301	2013	223	2013-08-11	.	.	.	.	.	406	.
ETBA	ETBA1301	2013	237	2013-08-25	.	.	.	.	.	391	.
ETBA	ETBA1301	2013	256	2013-09-13	.	.	.	.	.	392	.
ETBA	ETBA1301	2013	264	2013-09-21	.	.	.	.	.	392	.
ETBA	ETBA1301	2013	280	2013-10-07	.	.	.	.	.	352	.
