Site.name	Experiment.name	Year	Day.of.Year	Date	Yield	Biom	LAI	CroN	SoilWTot.MaxMeasDepth	SoilNTot.MaxMeasDepth
MANT	MANT1001	2010	151	2010-05-31	.	.	0.007	.	.	.
MANT	MANT1001	2010	166	2010-06-15	.	.	0.058	.	.	.
MANT	MANT1001	2010	181	2010-06-30	.	.	0.312	.	.	.
MANT	MANT1001	2010	196	2010-07-15	.	.	0.145	.	.	.
MANT	MANT1001	2010	211	2010-07-30	.	.	0.118	.	.	.
MANT	MANT1001	2010	226	2010-08-14	.	.	0.271	.	.	.
MANT	MANT1001	2010	246	2010-09-03	0.85	1.93	0	.	.	.
MANT	MANT0901	2009	163	2009-06-12	.	.	0.012	.	.	.
MANT	MANT0901	2009	178	2009-06-27	.	.	0.063	.	.	.
MANT	MANT0901	2009	193	2009-07-12	.	.	0.131	.	.	.
MANT	MANT0901	2009	208	2009-07-27	.	.	0.122	.	.	.
MANT	MANT0901	2009	223	2009-08-11	.	.	0.241	.	.	.
MANT	MANT0901	2009	238	2009-08-26	.	.	0.284	.	.	.
MANT	MANT0901	2009	260	2009-09-17	0.73	0.92	0	.	.	.
ETBA	ETBA1401	2014	300	2014-10-27	1.943	3.08	.	.	.	.
RWBU	RWBU1501	2014	312	2014-11-08	.	.	0.404	.	.	.
RWBU	RWBU1501	2014	315	2014-11-11	.	.	0.512	.	.	.
RWBU	RWBU1501	2014	318	2014-11-14	.	.	0.453	.	.	.
RWBU	RWBU1501	2014	321	2014-11-17	.	.	0.588	.	.	.
RWBU	RWBU1501	2014	324	2014-11-20	.	.	0.561	.	.	.
RWBU	RWBU1501	2014	327	2014-11-23	.	.	0.767	.	.	.
RWBU	RWBU1501	2014	330	2014-11-26	.	.	0.665	.	.	.
RWBU	RWBU1501	2014	333	2014-11-29	.	.	0.454	.	.	.
RWBU	RWBU1501	2014	336	2014-12-02	.	.	0.619	.	.	.
RWBU	RWBU1501	2014	339	2014-12-05	.	.	0.627	.	.	.
RWBU	RWBU1501	2014	342	2014-12-08	.	.	0.592	.	.	.
RWBU	RWBU1501	2014	345	2014-12-11	.	.	0.891	.	.	.
RWBU	RWBU1501	2014	348	2014-12-14	.	.	0.81	.	.	.
BEOU	BEOU1501	2015	189	2015-07-08	.	0.009	.	0.3	.	.
BEOU	BEOU1501	2015	196	2015-07-15	.	0.011	.	0.3	.	.
BEOU	BEOU1501	2015	203	2015-07-22	.	0.069	.	2	.	.
BEOU	BEOU1501	2015	210	2015-07-29	.	0.126	.	2.5	.	.
BEOU	BEOU1501	2015	224	2015-08-12	.	0.88	.	8.9	.	.
BEOU	BEOU1501	2015	238	2015-08-26	.	0.87	.	6.6	.	.
BEOU	BEOU1501	2015	252	2015-09-09	.	0.452	.	4.3	.	.
BEOU	BEOU1501	2015	266	2015-09-23	0.267	0.798	.	9.3	.	.
BEOU	BEOU1501	2015	278	2015-10-05	.	.	.	.	.	.
BEOU	BEOU1401	2014	265	2014-09-22	0.229	1.176	.	.	.	.
