Site.name	Experiment.name	Year	Day.of.Year	Date	Yield	Biom	LAI	CroN	SoilWTot.MaxMeasDepth	SoilNTot.MaxMeasDepth
MANT	MANT1001	2010	151	2010-05-31	na	na	0.007	na	na	na
MANT	MANT1001	2010	166	2010-06-15	na	na	0.058	na	na	na
MANT	MANT1001	2010	181	2010-06-30	na	na	0.312	na	na	na
MANT	MANT1001	2010	196	2010-07-15	na	na	0.145	na	na	na
MANT	MANT1001	2010	211	2010-07-30	na	na	0.118	na	na	na
MANT	MANT1001	2010	226	2010-08-14	na	na	0.271	na	na	na
MANT	MANT1001	2010	246	2010-09-03	0.85	1.93	0	na	na	na
MANT	MANT0901	2009	163	2009-06-12	na	na	0.012	na	na	na
MANT	MANT0901	2009	178	2009-06-27	na	na	0.063	na	na	na
MANT	MANT0901	2009	193	2009-07-12	na	na	0.131	na	na	na
MANT	MANT0901	2009	208	2009-07-27	na	na	0.122	na	na	na
MANT	MANT0901	2009	223	2009-08-11	na	na	0.241	na	na	na
MANT	MANT0901	2009	238	2009-08-26	na	na	0.284	na	na	na
MANT	MANT0901	2009	260	2009-09-17	0.73	0.92	0	na	na	na
ETBA	ETBA1401	2014	300	2014-10-27	1.943	3.08	na	na	na	na
RWBU	RWBU1501	2014	312	2014-11-08	na	na	0.404	na	na	na
RWBU	RWBU1501	2014	315	2014-11-11	na	na	0.512	na	na	na
RWBU	RWBU1501	2014	318	2014-11-14	na	na	0.453	na	na	na
RWBU	RWBU1501	2014	321	2014-11-17	na	na	0.588	na	na	na
RWBU	RWBU1501	2014	324	2014-11-20	na	na	0.561	na	na	na
RWBU	RWBU1501	2014	327	2014-11-23	na	na	0.767	na	na	na
RWBU	RWBU1501	2014	330	2014-11-26	na	na	0.665	na	na	na
RWBU	RWBU1501	2014	333	2014-11-29	na	na	0.454	na	na	na
RWBU	RWBU1501	2014	336	2014-12-02	na	na	0.619	na	na	na
RWBU	RWBU1501	2014	339	2014-12-05	na	na	0.627	na	na	na
RWBU	RWBU1501	2014	342	2014-12-08	na	na	0.592	na	na	na
RWBU	RWBU1501	2014	345	2014-12-11	na	na	0.891	na	na	na
RWBU	RWBU1501	2014	348	2014-12-14	na	na	0.81	na	na	na
BEOU	BEOU1501	2015	189	2015-07-08	na	0.009	na	0.3	na	na
BEOU	BEOU1501	2015	196	2015-07-15	na	0.011	na	0.3	na	na
BEOU	BEOU1501	2015	203	2015-07-22	na	0.069	na	2	na	na
BEOU	BEOU1501	2015	210	2015-07-29	na	0.126	na	2.5	na	na
BEOU	BEOU1501	2015	224	2015-08-12	na	0.88	na	8.9	na	na
BEOU	BEOU1501	2015	238	2015-08-26	na	0.87	na	6.6	na	na
BEOU	BEOU1501	2015	252	2015-09-09	na	0.452	na	4.3	na	na
BEOU	BEOU1501	2015	266	2015-09-23	0.267	0.798	na	9.3	na	na
BEOU	BEOU1501	2015	278	2015-10-05	na	na	na	na	na	na
BEOU	BEOU1401	2014	265	2014-09-22	0.229	1.176	na	na	na	na
