Site.name	Experiment.name	Planting.date	Ant.date	Mat.date	Yield	Biom-ma	MaxLAI	CroN-ma	CroP-ma	SoilN
MANT	MANT1001	2010-05-31	2010-07-24	2010-09-03	2.127	8.809	1.32	na	na	na
MANT	MANT0901	2009-12-06	2009-08-07	2009-09-17	2.64	4.853	1.5	na	na	na
GHKP	GHKP0801	2008-04-20	2008-06-24	2008-08-04	4.421	9.18	2.73	86	17	na
GHKP	GHKP0901	2009-04-15	2009-06-14	2009-07-29	3.479	8.056	2.37	76	12.4	na
BEOU	BEOU1501	2015-06-25	2015-08-17	2015-09-19	1.655	4.346	na	45.2	na	50.6
BEOU	BEOU1401	2014-07-04	2014-08-25	2014-09-22	1.349	3.963	na	40.6	na	na
ETBA	ETBA1401	2014-06-10	2014-09-16	2014-10-27	7.293	11.561	4.43	na	na	na
ETBA	ETBA1301	2013-07-06	2013-09-12	2013-10-23	5.585	17.336	na	na	na	na
RWBU	RWBU1501	2014-09-10	2014-12-30	2015-02-04	2.691	4.842	3.13	na	na	na
RWBU	RWBU1401	2013-09-24	2013-12-05	2014-01-22	4.353	9.616	na	na	na	na
