Dummy,ClimateID, WeatherID,jday,date,Hour,Srad,wind,RH,rain,tmax,tmin,temperature,CO2
Del,Del,Del,94,4/4/2006,0,0,,63,0.0001,,,10.78,
Del,Del,Del,94,4/4/2006,1,0,,61,0.0001,,,10.21,
Del,Del,Del,94,4/4/2006,2,0,,59,0,,,9.2,
Del,Del,Del,94,4/4/2006,3,0,,58,0,,,8.78,
Del,Del,Del,94,4/4/2006,4,0,,58,0,,,8.26,
Del,Del,Del,94,4/4/2006,5,0,,58,0,,,8.12,
Del,Del,Del,94,4/4/2006,6,0.106,,49,0,,,7.92,
Del,Del,Del,94,4/4/2006,7,0.645,,44,0,,,8.66,
Del,Del,Del,94,4/4/2006,8,1.289,,37,0,,,9.39,
Del,Del,Del,94,4/4/2006,9,2.065,,30,0,,,11.11,
Del,Del,Del,94,4/4/2006,10,2.628,,26,0,,,11.65,
Del,Del,Del,94,4/4/2006,11,2.952,,22,0,,,12.87,
Del,Del,Del,94,4/4/2006,12,3.118,,20,0,,,13.99,
Del,Del,Del,94,4/4/2006,13,3.06,,19,0,,,14.43,
Del,Del,Del,94,4/4/2006,14,2.749,,18,0,,,14.96,
Del,Del,Del,94,4/4/2006,15,2.081,,18,0,,,15.62,
Del,Del,Del,94,4/4/2006,16,1.654,,17,0,,,15.79,
Del,Del,Del,94,4/4/2006,17,0.868,,18,0,,,15.51,
Del,Del,Del,94,4/4/2006,18,0.144,,19,0,,,14.12,
Del,Del,Del,94,4/4/2006,19,0,,27,0,,,12.36,
Del,Del,Del,94,4/4/2006,20,0,,46,0,,,9.75,
Del,Del,Del,94,4/4/2006,21,0,,44,0,,,9.01,
Del,Del,Del,94,4/4/2006,22,0,,38,0,,,10.46,
Del,Del,Del,94,4/4/2006,23,0,,33,0,,,11.21,
Del,Del,Del,95,4/5/2006,0,0,,42,0.508,,,8.9,
Del,Del,Del,95,4/5/2006,1,0,,48,0,,,9.36,
Del,Del,Del,95,4/5/2006,2,0,,48,0,,,9,
Del,Del,Del,95,4/5/2006,3,0,,51,0,,,8.34,
Del,Del,Del,95,4/5/2006,4,0,,64,0,,,6.83,
Del,Del,Del,95,4/5/2006,5,0,,65,0,,,6.53,
Del,Del,Del,95,4/5/2006,6,0.043,,62,0,,,7.13,
Del,Del,Del,95,4/5/2006,7,0.323,,68,0,,,4.31,
Del,Del,Del,95,4/5/2006,8,1.082,,52,0,,,6,
Del,Del,Del,95,4/5/2006,9,1.361,,42,0,,,7.85,
Del,Del,Del,95,4/5/2006,10,1.462,,38,0,,,7.85,
Del,Del,Del,95,4/5/2006,11,2.869,,30,0,,,10.81,
Del,Del,Del,95,4/5/2006,12,3.087,,26,0,,,11.57,
Del,Del,Del,96,4/6/2006,11,2.161,,38,0,,,13.28,
Del,Del,Del,96,4/6/2006,12,2.859,,35,0,,,13.96,
Del,Del,Del,96,4/6/2006,13,2.899,,32,0,,,14.98,
Del,Del,Del,96,4/6/2006,14,2.628,,30,0,,,15.65,
Del,Del,Del,96,4/6/2006,15,1.843,,28,0,,,16.24,
Del,Del,Del,96,4/6/2006,16,1.134,,28,0,,,16.32,
Del,Del,Del,96,4/6/2006,17,0.509,,29,0,,,16.02,
Del,Del,Del,96,4/6/2006,18,0.073,,45,0,,,13,
Del,Del,Del,96,4/6/2006,19,0,,59,0,,,9.99,
Del,Del,Del,96,4/6/2006,20,0,,70,0,,,8.59,
Del,Del,Del,96,4/6/2006,21,0,,83,0,,,7.37,
Del,Del,Del,96,4/6/2006,22,0,,90,0,,,6.44,
Del,Del,Del,96,4/6/2006,23,0,,94,0,,,4.89,
