climate_id,weather_id,jday,date,hour,srad,wind,RH,rain,tmax,tmin,temperature,CO2
Rahuri,rhr2002,1,1/1/2002,,16.45,7,56.5,0,27.7,12.41,,
Rahuri,rhr2002,2,1/2/2002,,16.68,7,54,0,27.4,11.82,,
Rahuri,rhr2002,3,1/3/2002,,16.47,6.9,50.5,0,26.1,10.16,,
Rahuri,rhr2002,4,1/4/2002,,17.37,7,50.5,0,25,8.95,,
Rahuri,rhr2002,5,1/5/2002,,14.14,8,50,0,27,11.19,,
Rahuri,rhr2002,6,1/6/2002,,12.91,10,64,0,26.4,14.47,,
Rahuri,rhr2002,7,1/7/2002,,11.11,10.8,62,0,27.1,14.65,,
Rahuri,rhr2002,8,1/8/2002,,14.92,10.5,76.5,0,24.9,14.48,,
Rahuri,rhr2002,9,1/9/2002,,15.58,9.3,70,0,25.7,13.59,,
Rahuri,rhr2002,10,1/10/2002,,16.1,6.9,67,0,29.71,13.65,,
Rahuri,rhr2002,11,1/11/2002,,18.02,9.3,63.5,0,28.9,12.14,,
Rahuri,rhr2002,12,1/12/2002,,18.48,13.7,62.5,0,26.4,13.82,,
Rahuri,rhr2002,13,1/13/2002,,18.76,10.9,54,0,27.1,12.73,,
Rahuri,rhr2002,14,1/14/2002,,18.47,12.2,54,0,28.2,14.4,,
Rahuri,rhr2002,15,1/15/2002,,18.18,13.2,52,0,29.9,15.39,,
Rahuri,rhr2002,16,1/16/2002,,18.36,10.3,44.5,0,31.9,14.57,,
Rahuri,rhr2002,17,1/17/2002,,18.36,8.4,55,0,29.84,12.32,,
Rahuri,rhr2002,18,1/18/2002,,18.31,9.1,61,0,29.3,10.2,,
Rahuri,rhr2002,19,1/19/2002,,17.42,15.5,71.5,0,26.3,11.1,,
Rahuri,rhr2002,20,1/20/2002,,18.03,10.2,63,0,27.2,9.4,,
Rahuri,rhr2002,21,1/21/2002,,17.81,10.9,57.5,0,26.3,9.1,,
Rahuri,rhr2002,22,1/22/2002,,17.68,6.5,49.5,0,30.3,10.8,,
Rahuri,rhr2002,23,1/23/2002,,18.34,6.2,64,0,29.2,8.7,,
Rahuri,rhr2002,24,1/24/2002,,19.41,7,58,0,32.02,10.45,,
Rahuri,rhr2002,25,1/25/2002,,19.59,7.8,62.5,0,27.1,6.7,,
Rahuri,rhr2002,26,1/26/2002,,19.13,7.5,53.5,0,27,8.1,,
Rahuri,rhr2002,27,1/27/2002,,19.15,8.1,40,0,28.9,8.1,,
Rahuri,rhr2002,28,1/28/2002,,19.51,9.5,63,0,24.7,5.3,,
Rahuri,rhr2002,29,1/29/2002,,19.35,7.6,59.5,0,23,5.2,,
Rahuri,rhr2002,30,1/30/2002,,18.75,10.4,59,0,24.5,6.4,,
Rahuri,rhr2002,31,1/31/2002,,16.21,10.1,48.5,0,23.9,8.1,,
Rahuri,rhr2002,32,2/1/2002,,15.76,8.6,63.5,0,26.1,14.4,,
Rahuri,rhr2002,33,2/2/2002,,16.11,8.1,60.5,0,27.1,12.5,,
Rahuri,rhr2002,34,2/3/2002,,16.98,8.1,65.5,0,27.9,12.8,,
Rahuri,rhr2002,35,2/4/2002,,17.09,9.2,56.5,0,28.4,13.3,,
Rahuri,rhr2002,36,2/5/2002,,17.28,9.5,59.5,0,31.9,16.5,,
Rahuri,rhr2002,37,2/6/2002,,17.77,9.3,56,0,29.9,13.7,,
Rahuri,rhr2002,38,2/7/2002,,18.96,9.5,58.5,0,28.6,14.5,,
Rahuri,rhr2002,39,2/8/2002,,20.75,7.4,43,0,29.6,9.1,,
Rahuri,rhr2002,40,2/9/2002,,18.31,8.1,54,0,26.6,9,,
Rahuri,rhr2002,41,2/10/2002,,15.55,8.1,53,4.6,27.3,18.5,,
Rahuri,rhr2002,42,2/11/2002,,20.53,7.8,73,0,30.1,13.36,,
Rahuri,rhr2002,43,2/12/2002,,21.11,7,55.5,0,29,9.8,,
Rahuri,rhr2002,44,2/13/2002,,18.62,7.1,55,0,27.1,13.5,,
Rahuri,rhr2002,45,2/14/2002,,19.72,6.9,61,0,28.9,14.7,,
Rahuri,rhr2002,46,2/15/2002,,19.66,7,61,0,30.7,15.5,,
Rahuri,rhr2002,47,2/16/2002,,19.33,9,55.5,0,30.8,14.8,,
Rahuri,rhr2002,48,2/17/2002,,17.52,9.4,55.5,0,30.9,18.6,,
Rahuri,rhr2002,49,2/18/2002,,17.87,7.6,51.5,0,32.5,19.7,,
Rahuri,rhr2002,50,2/19/2002,,18.68,8.1,50.5,0,30.3,17,,
