climateID,weatherID,date,jday,hour,temperature,rh,wind,rain,srad
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,0,14.74,54.1,3.54,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,1,14.45,56.5,3.46,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,2,14.15,59.0,3.4,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,3,13.86,61.6,3.36,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,4,13.65,64.2,3.29,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,5,13.43,67.0,3.22,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,6,13.21,69.8,3.16,0.0,0.087
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,7,14.43,65.9,2.08,0.0,0.4921
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,8,15.65,62.3,2.89,0.0,0.8881
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,9,16.86,58.9,4.68,0.0,1.6915
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,10,18.8,46.9,6.05,0.0,2.2072
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,11,20.74,37.0,7.77,0.0,2.6444
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,12,22.68,28.7,9.66,0.0,3.0141
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,13,22.62,26.7,9.2,0.0,2.9908
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,14,22.56,24.8,8.77,0.0,2.8631
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,15,22.5,22.8,8.35,0.0,2.6156
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,16,21.87,22.6,7.71,0.0,2.0937
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,17,21.23,22.3,7.08,0.0,1.502
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,18,20.6,22.1,6.45,0.0,0.8115
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,19,18.12,25.7,5.0,0.0,0.2927
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,20,15.65,30.1,3.86,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,21,13.17,35.4,3.37,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,22,12.24,36.5,3.0,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-04-30,121,23,11.3,37.6,2.88,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,0,10.37,38.8,3.04,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,1,10.38,41.4,2.4,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,2,10.39,44.1,2.04,0.0129,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,3,10.4,46.7,2.11,0.0384,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,4,9.38,52.6,2.25,1.3919,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,5,8.36,59.2,2.41,2.0539,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,6,7.34,66.4,2.61,0.0144,0.0667
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,7,8.76,65.5,2.99,0.0,0.3493
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,8,10.18,64.2,3.51,0.0,0.6255
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,9,11.59,62.8,4.14,0.0,0.7991
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,10,12.63,57.5,5.34,0.0,1.0598
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,11,13.66,52.7,6.55,0.0,1.2414
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,12,14.69,48.3,7.76,0.0,1.3045
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,13,14.49,51.7,7.89,0.0,1.3108
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,14,14.29,55.1,8.01,0.0,1.236
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,15,14.08,58.7,8.15,0.0,1.5315
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,16,13.88,62.3,7.43,0.0,1.2669
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,17,13.67,66.0,6.78,0.0,0.8988
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,18,13.46,69.8,6.21,0.0,0.5555
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,19,11.91,76.6,4.16,0.0,0.204
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,20,10.35,84.1,2.73,1.1218,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,21,8.79,92.5,3.02,2.1474,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,22,8.87,92.6,2.73,2.9569,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-01,122,23,8.94,92.8,2.44,1.1688,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,0,9.01,93.0,2.17,0.5355,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,1,8.55,93.9,1.93,0.0216,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,2,8.09,94.8,1.88,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,3,7.62,95.7,2.04,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,4,7.03,95.8,2.03,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,5,6.44,95.8,2.04,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,6,5.84,95.7,2.07,0.0,0.1304
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,7,7.76,84.4,3.15,0.0,0.6386
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,8,9.68,74.5,4.26,0.0,1.1352
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,9,11.59,66.0,5.36,0.0,1.7523
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,10,13.16,52.7,5.8,0.0,2.3209
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,11,14.73,41.4,6.23,0.0,2.7165
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,12,16.3,31.8,6.67,0.0,2.941
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,13,16.76,29.1,6.43,0.0,2.9546
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,14,17.23,26.5,6.21,0.0,2.7863
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,15,17.69,24.0,5.99,0.0,2.467
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,16,17.32,24.1,5.34,0.0,2.0422
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,17,16.96,24.2,4.7,0.0,1.4512
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,18,16.6,24.3,4.06,0.0,0.8301
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,19,15.31,25.4,3.02,0.0,0.3104
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,20,14.02,26.6,1.99,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,21,12.74,27.8,1.05,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,22,12.05,31.1,0.8,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-02,123,23,11.35,34.7,1.38,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,0,10.66,38.5,2.21,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,1,10.78,40.0,2.11,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,2,10.91,41.5,2.01,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,3,11.03,42.9,1.91,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,4,10.8,45.8,2.31,0.1249,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,5,10.57,48.7,2.73,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,6,10.34,51.7,3.15,0.0,0.1154
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,7,11.4,48.4,4.53,0.0,0.532
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,8,12.46,45.3,6.06,0.0,0.939
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,9,13.52,42.4,7.67,0.0,1.2466
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,10,14.92,40.0,8.61,0.0,1.6489
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,11,16.32,37.7,9.58,0.0,1.9286
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,12,17.72,35.5,10.56,0.0,2.6027
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,13,18.99,38.0,10.47,0.0,2.6144
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,14,20.27,39.9,10.38,0.0,2.4657
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,15,21.54,41.4,10.3,0.0,2.3083
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,16,21.86,44.2,8.25,0.0,1.9123
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,17,22.19,46.8,6.21,0.0,1.361
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,18,22.52,49.3,4.17,8.2731,0.3977
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,19,20.14,57.1,1.89,2.3197,0.1512
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,20,17.77,66.3,4.16,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,21,15.39,77.3,7.67,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,22,13.14,80.7,7.93,0.1907,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-03,124,23,10.9,83.4,8.31,0.23,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,0,8.65,85.2,8.77,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,1,8.27,83.8,7.3,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,2,7.88,82.3,5.84,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,3,7.5,80.5,4.38,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,4,6.72,82.4,3.87,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,5,5.94,84.3,3.4,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,6,5.15,86.2,2.98,0.0,0.1542
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,7,6.05,76.1,3.3,0.0,0.6735
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,8,6.94,67.0,3.61,0.0,1.1808
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,9,7.83,58.7,3.92,0.0,1.7766
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,10,9.41,52.5,3.75,0.0,2.347
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,11,10.98,47.0,3.58,0.0,2.7432
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,12,12.56,42.1,3.4,0.0,2.9706
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,13,13.48,40.1,2.14,0.0,2.9836
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,14,14.4,38.3,0.89,0.0,2.8141
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,15,15.32,36.5,0.44,0.0,2.4779
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,16,15.21,37.2,1.62,0.0,2.0544
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,17,15.11,37.9,2.88,0.0,1.4644
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,18,15.0,38.6,4.14,0.0,0.8389
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,19,13.35,44.3,3.97,0.0,0.3242
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,20,11.7,50.8,3.85,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,21,10.04,58.4,3.77,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,22,9.39,61.0,3.78,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-04,125,23,8.74,63.7,3.86,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-05,126,0,8.09,66.6,3.98,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-05,126,1,7.54,69.2,3.97,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-05,126,2,6.99,72.0,3.96,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-05,126,3,6.43,74.9,3.95,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-05,126,4,6.16,77.1,3.83,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-05,126,5,5.89,79.3,3.7,0.0,0.0
Proj_NE_Weather,Proj_NE_weather,2024-05-05,126,6,5.61,81.7,3.58,0.0,0.1582
Proj_NE_Weather,Proj_NE_weather,2024-05-05,126,7,7.66,76.3,4.83,0.0,0.6581
Proj_NE_Weather,Proj_NE_weather,2024-05-05,126,8,9.71,71.1,6.09,0.0,1.1464
Proj_NE_Weather,Proj_NE_weather,2024-05-05,126,9,11.75,66.1,7.35,0.0,1.6621
Proj_NE_Weather,Proj_NE_weather,2024-05-05,126,10,13.56,64.7,8.2,0.0,2.1931
Proj_NE_Weather,Proj_NE_weather,2024-05-05,126,11,15.37,62.8,9.08,0.0,2.5616
Proj_NE_Weather,Proj_NE_weather,2024-05-05,126,12,17.17,60.7,9.96,0.0,2.8536
